model,mode,n_patients,n_ok,auroc,auprc
llama3,few-shot,200,200,0.5274509803921569,0.1573550724637681
llama3,few-shot,200,200,0.557843137254902,0.1664870259481038
llama3,few-shot,200,200,0.4987254901960785,0.1505414551607445
llama3,zero-shot,200,200,0.612450980392157,0.2131818691753937
llama3,zero-shot,50,50,0.7093023255813954,0.4433954451345755
llama3,zero-shot,4000,4000,0.5889777377332283,0.1968152002850449
llama3,few-shot,150,150,0.6644518272425248,0.3037606837606837
llama3,few-shot,4000,4000,0.56692245122699,0.1751529608222517
